h,Model,MAE_mean,MAE_std,Bias_mean,Bias_std,PM_mean,PM_std,n_seeds
7,Autoformer,211.9633,2.914,-16.0607,3.6704,0.305,0.0084,3
7,Autoformer_NoDecomp,213.6156,0.0,-42.8521,0.0,0.2752,0.0,3
7,TCN,107.7703,4.2684,-20.1374,13.5054,0.0892,0.0014,3
14,Autoformer,222.8854,2.2109,-55.0991,5.0453,0.3247,0.005,3
14,Autoformer_NoDecomp,230.8302,0.0,-63.7321,0.0,0.3194,0.0,3
14,TCN,141.2223,4.7664,-6.2804,6.953,0.1399,0.0073,3
30,Autoformer,220.0513,7.4737,-55.238,13.1277,0.3583,0.0175,3
30,Autoformer_NoDecomp,263.0578,0.0,-115.0556,0.0,0.4388,0.0,3
30,TCN,210.4697,3.4134,8.5857,9.2044,0.3287,0.0035,3
